year,sample,yearSampleLabel,Cohort,CohortLabel,stattype,subject,grade,scale,jurisdiction,jurisLabel,variable,variableLabel,varValue,varValueLabel,value,isStatDisplayable,errorFlag
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,AL,Alabama,TOTAL,All students,1,All students,218.57595339188,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,65.983413823916,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,AR,Arkansas,TOTAL,All students,1,All students,218.523885266815,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,DE,Delaware,TOTAL,All students,1,All students,72.7388704081703,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,DE,Delaware,TOTAL,All students,1,All students,225.77165116252,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,FL,Florida,TOTAL,All students,1,All students,74.9905926440847,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,FL,Florida,TOTAL,All students,1,All students,227.46317661052,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,GA,Georgia,TOTAL,All students,1,All students,66.9792053114265,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,GA,Georgia,TOTAL,All students,1,All students,221.836712514568,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,KY,Kentucky,TOTAL,All students,1,All students,71.1242623184871,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,KY,Kentucky,TOTAL,All students,1,All students,224.427540486587,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,LA,Louisiana,TOTAL,All students,1,All students,56.3943971330603,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,LA,Louisiana,TOTAL,All students,1,All students,210.454963224321,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,MD,Maryland,TOTAL,All students,1,All students,76.5720182038351,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,MD,Maryland,TOTAL,All students,1,All students,232.055973147422,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,MS,Mississippi,TOTAL,All students,1,All students,53.2459064919435,1,0
2013,R3,2013,1,Grade 4,MN:MN,RED,4,RRPCM,MS,Mississippi,TOTAL,All students,1,All students,208.518536453726,1,0
2013,R3,2013,1,Grade 4,ALC:AB,RED,4,RRPCM,NC,North Carolina,TOTAL,All students,1,All students,69.0651028068307,1,0
